text,sentiment
Display is excellent and camera is as good as any from that year.,1
Battery life is also great!,1
Protects the phone on all sides.,1
"Clear Skype Calls, Long Battery Life, Long Range.",1
Great Hands Free Device.,1
"you can even take self portraits with the outside (exterior) display, very cool.",1
After trying many many handsfree gadgets this is the one that finally works well.,1
Magical Help.,1
The best phone in market :).,1
It worked very well.,1
The company shipped my product very promptly and it works well.,1
Exactly what I wanted.,1
This is a great deal.,1
"Excellent product, I am very satisfied with the purchase.",1
I highly recommend these and encourage people to give them a try.,1
Better than you'd expect.,1
Great product and price.,1
"Sounds good reasonably priced and effective, Its that simple !",1
Very prompt service.,1
Excellent product for the price.,1
Very pleased with this headset.,1
I especially love the long battery life.,1
Works great.,1
Plantronics Bluetooth Excelent Buy.,1
I highly recommend this device to everyone!,1
Jawbone Era is awesome too!,1
"I have used several phone in two years, but this one is the best.",1
An Awesome New Look For Fall 2000!.,1
Price is good too.,1
I'm using it with an iriver SPINN (with case) and it fits fine.,1
"Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception.",1
"every thing on phone work perfectly, she like it.",1
IT'S REALLY EASY.,1
My Sanyo has survived dozens of drops on blacktop without ill effect.,1
Fantastic earphones.,1
It finds my cell phone right away when I enter the car.,1
I highly recommend this modest priced cellular phone.,1
But it does get better reception and clarity than any phone I've had before.,1
Awsome Device Works Great!!.,1
Restored my phone to like new performance.,1
"I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure.",1
"I searched the Internet, and found this one to be the best value.",1
Very happy with this product.,1
"The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.",1
"i'm glad i found this product on amazon it is hard to find, it wasn't high priced.",1
Portable and it works.,1
"My colleague & I now get great reception.A little expensive, but performance is great.",1
Timely shipment and quality product.,1
Nice solid keyboard.,1
Very well made and fits my Surefire GX2 perfectly.,1
We would recommend these to others.,1
The battery works great!,1
"Looks great and is strong.""",1
"I have had TMobile service for 2 or 3 years now, and I am pretty happy with it.",1
Great software for Motorolas.,1
The delivery was on time.,1
Very easy to use.,1
"It holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.",1
The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.,1
"After charging overnight, these batteries work great.",1
You won't regret it!,1
I love this phone!.,1
This PDA rocks.,1
"It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.",1
"I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!",1
I had Verizon 2 years ago and really liked their service.,1
Works as described.,1
WELL IM SATISFIED.,1
"The bose noise cancelling is amazing, which is very important for a NYC commuter.",1
This battery is an excellent bargain!,1
I wear glasses and it fits fine with them.,1
great...no problems at all!.,1
This frog phone charm is adorable and very eye catching.,1
The sound is clear and the people I talk to on it are amazed at the quality too.,1
I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.,1
"very good product, well made.",1
Mobile Phone Tools are a must have.,1
I am very impressed with the job that Motorola did on the sturdiness of this phone.,1
"I received my orders well within the shipping timeframe, everything was in good working order and overall, I am very excited to have this source.",1
The phone is sturdy and waterproof.,1
Thanks again to Amazon for having the things I need for a good price!,1
I ended up sliding it on the edge of my pants or back pockets instead.,1
I had to go to a store and bought a new NOKIA phone which is working great.,1
Works great!.,1
The noise shield is incrediable.,1
Razr Battery - Good buy.,1
Keep up the good work Amazon!!,1
Great case and price!,1
"Bluetooth range is good - a few days ago I left my phone in the trunk, got a call, and carried the conversation without a hitch.",1
"Small, sleek, impressive looking, practical setup with ample storage in place.",1
The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.,1
I am glad I purchased it.,1
"No shifting, no bubbling, no peeling, not even a scratch, NOTHING!I couldn't be more happier with my new one for the Droid.",1
"I own a Jabra Earset and was very happy with it, but the sound quality, especially outgoing, on this is better.",1
"I love the camera, it's really pretty good quality.",1
Thank you for such great service.,1
Its a total package.,1
"The seller is very understanding and patient, I would definitely buy from them again.",1
Great product for the price!.,1
"I have purchased these for both family and friends, and all enjoy their clarity and ease of use",1
Virgin Wireless rocks and so does this cheap little phone!,1
"All in all, I'm quite satisfied with this purchase.",1
"Great it was new packaged nice works good, no problems and it came in less time then I expected!!!!",1
Great Product.,1
This fixes all the problems.,1
I am very happy,1
"I've had no trouble accessing the Internet, downloading ringtones or performing any of the functions.",1
It does everything the description said it would.,1
"It works great with a car charger, especially if you cannot plug in two adapters at the same time.",1
"It plays louder than any other speaker of this size the price is so low that most would think the quality is lacking, however, it's not.",1
Better than expected.,1
Battery is holding up well.,1
Linked to my phone without effort.,1
THey are so cool!,1
Easy to use.,1
Better Than New.,1
A pretty good product.,1
This is a great phone!.,1
"For the price on Amazon, it is an excellent product, which I would highly recommend.",1
Their Research and Development division obviously knows what they're doing.,1
Those phones are working just fine now.,1
I am more than happy with this product.,1
"Overall, I would recommend this phone over the new Walkman.",1
It fits my ear well and is comfortable on.,1
clipping this to your belt will deffinitely make you feel like 50 cent's up-and-coming.,1
I like design and look of Jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear.,1
I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.,1
Worked very well paired with a Treo 700w and as a Skype headset on my PC (using a USB Bluetooth transceiver).,1
This is a great product..... sure beats using your fingers!.,1
All the other cases I've tried normally fall apart after a few months but this one seems to be in for the long haul.,1
I recommend iGo to anyone with different brand cell phones/mp3 players in the family.,1
"I posted more detailed comments under the grey or black phone, but i have the Fire Red and it's a great color!",1
I did not have any problem with this item and would order it again if needed.,1
"Not only did the software do a great job of this, I could also make my own ringtones form my existing CDs without an internet connection.",1
im surprised this is a good quality car charger and there's not much reviews about it.,1
These are fabulous!,1
I used bitpim (a free program you can find on the internet)to transfer data to the phone.The price of the cable was excellent.,1
Very wind-resistant.,1
"They do not last forever, but is not overly expensive to replace.Easy to operate and the sound is much better than others I have tried.",1
Phone is sturdy as all nokia bar phones are.,1
Great phone.,1
I'm pleased.,1
I found the product to be easy to set up and use.,1
"No ear loop needed, it's tiny and the sound is great.",1
"The handsfree part works fine, but then the car tries to download the address book, and the Treo reboots.Overall, I still rate this device high.",1
I'm happy about this purchase- good quality and low price.,1
I love the look and feel of Samsung flipphones.,1
Its well-designed and very sharp -- the blue is a very nice color.,1
Does everything it should and more.,1
Nice Sound.,1
Much less than the jawbone I was going to replace it with.,1
Setup went very smoothly.,1
"It is well made, easy to access the phone and has a handy, detachable belt clip.",1
"It works fine on my Motorola 325 cellphone, and a lot better than the worn-out battery did.",1
The volume for the ringer is REAL good (you have choices how loud).,1
I love the ringtones because they are so upbeat!,1
Easy to pair with my Samsung Cell.,1
Works well.,1
Clear crisp sound.,1
"I have to use the smallest earpieces provided, but it stays on pretty well.",1
The phone can also take great pictures and even video clips.,1
"Because both ears are occupied, background is not distracting at all.",1
